Artist;Song;Genre;Arrangement Title;Arranger;Difficulty;Shop;Link;Performance Link;Notes
David Bowie;Under Pressure;pop/rock;Under Pressure;;Mittel-/Oberstufe;rundel.de;https://www.rundel.de/en/product/HCB-145/under-pressure;https://www.youtube.com/watch?v=UD6MEGnPeJk;HCB-145. Concert band. Marked NOT AVAILABLE (European additional parts 'World Parts' not available).
David Bowie;Under Pressure;pop/rock;David Bowie: The Hits (Let's Dance / Space Oddity / Under Pressure);Patrick Roszell;3;-;https://www.windrep.org/David_Bowie:_The_Hits;https://www.youtube.com/watch?v=Zoqai81oAV4;Same medley as Let's Dance row (Alfred 2023, Grade III). Note: separate standalone Under Pressure arrangement (rundel HCB-145) already in catalog
Deep Purple;Smoke on the Water;pop/rock;Deep Purple Medley;;Oberstufe;rundel.de;https://www.rundel.de/en/product/DH960774/deep-purple-medley;https://www.youtube.com/watch?v=hMR3im8GBxA;DH960774. Concert band medley incl. Burn, Highway Star, Smoke On The Water.
Deep Purple;Smoke on the Water;pop/rock;Smoke On The Water;;Anfängerstufe;rundel.de;https://www.rundel.de/en/product/HL08725124/smoke-on-the-water;https://www.youtube.com/watch?v=hMR3im8GBxA;HL08725124. Easy Discovery Band arrangement.
Deep Purple;Smoke on the Water;pop/rock;Smoke On The Water;;Unterstufe;rundel.de;https://www.rundel.de/en/product/HL08724836/smoke-on-the-water;https://www.youtube.com/watch?v=hMR3im8GBxA;HL08724836. Discovery Plus Band Series.
Deep Purple;Smoke on the Water;pop/rock;Smoke On The Water (Flex-Band);;Unter-/Mittelstufe;rundel.de;https://www.rundel.de/en/product/HL04002623/smoke-on-the-water;https://www.youtube.com/watch?v=hMR3im8GBxA;HL04002623. Flex-band arrangement.
Depeche Mode;Enjoy the Silence;pop/rock;;;;;;https://www.youtube.com/watch?v=aGSKrC7cGkI;No wind/brass arrangement found at abel/rundel/halleonard.
Dire Straits;Money for Nothing;pop/rock;The Best of Dire Straits (Money for Nothing / Sultans of Swing / Walk of Life);Lorenzo Bocci;3;hebu-music.com;https://www.hebu-music.com/en/article/mark-knopfler/molenaar-edition-bv/titel-wird-nicht-veroeffentlicht-the-best-of-dire-straits.258992/;https://www.youtube.com/watch?v=lAD6Obi7Cag;"Molenaar Edition BV, Concert Band, grade 3, medley of 3 songs. NOTE: currently out of print at HeBu; standalone digital editions exist (Bocci/ArrangeMe, incl. fanfare parts)"
Dire Straits;Sultans of Swing;pop/rock;Sultans of Swing;Lorenzo Bocci;3;sheetmusicplus.com;https://www.sheetmusicplus.com/en/product/sultans-of-swing-22716389.html;https://www.youtube.com/watch?v=TA7K-eVL0Lg;"Concert Band incl. Fanfare Band parts, Grade 3, 5:01, ArrangeMe (A0.1398112). Part of 'The Best of Dire Straits' set; also Olt brass quintet (SMD 1596087)"
Dire Straits;Walk of Life;pop/rock;Walk of Life;Lorenzo Bocci;3;sheetmusicdirect.com;https://www.sheetmusicdirect.com/se/ID_No/1496326/Product.aspx;https://www.youtube.com/watch?v=W3zFpEUrX18;Concert Band incl. Fanfare Band parts, Grade 3, 4:00, ArrangeMe. Also: arr. Erwin Jahreis (Big Band Sound, Musikverlag Bernhard Geiger GEIGER158, all-sheetmusic.com)
Dua Lipa;Don't Start Now;pop/rock;Don't Start Now;Tom Stanford;3.5;stretta-music.de;https://www.stretta-music.de/dont-start-now-nr-2306088.html;https://www.youtube.com/watch?v=oygrmJFFYZs;Scherzando Pop, Film & Show #2222-21-010 S, Concert Band/Harmonie, Grade 3½
Dua Lipa;Don't Start Now;pop/rock;A Dua Lipa Duo: Break My Heart / Don't Start Now;Michael Story;2.5;alfred.com;https://www.alfred.com/products/a-dua-lipa-duo-00-pk-0008410;https://www.youtube.com/watch?v=oygrmJFFYZs;Alfred #00-PK-0008410, Concert Band Grade 2½, medley (Break My Heart + Don't Start Now)
Duran Duran;Rio;pop/rock;;;;;;https://www.youtube.com/watch?v=kJLQnqA77kI;No wind/brass arrangement found at abel/rundel/halleonard.
Ed Sheeran;Castle on the Hill;pop/rock;The Best of Ed Sheeran;Peter Kleine Schaars;Mittel-/Oberstufe (3.5);rundel.de;https://www.rundel.de/en/article/the_best_of_ed_sheeran/DHP1186081;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Shape of You, Perfect, Castle on the Hill, Sing. Also abel.at
Ed Sheeran;Perfect;pop/rock;Perfect;Michael Brown;Level 3;halleonard.com;https://www.halleonard.com/product/4005613/perfect;https://www.youtube.com/watch?v=2Vv-BfVoqg4;Young Concert Band. Also 'Shape of You' series flex editions.
Ed Sheeran;Perfect;pop/rock;The Best of Ed Sheeran;Peter Kleine Schaars;Mittel-/Oberstufe (3.5);rundel.de;https://www.rundel.de/en/article/the_best_of_ed_sheeran/DHP1186081;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Shape of You, Perfect, Castle on the Hill, Sing. Also abel.at
Ed Sheeran;Shape of You;pop/rock;Shape of You;Michael Brown;Level 3;halleonard.com;https://www.halleonard.com/product/4005412/shape-of-you;https://www.youtube.com/watch?v=JGwWNGJdvx8;Young Concert Band set. Also flex-brass (HL 4005245? under Shape of you flex).
Ed Sheeran;Shape of You;pop/rock;The Best of Ed Sheeran;Peter Kleine Schaars;Mittel-/Oberstufe (3.5);rundel.de;https://www.rundel.de/en/article/the_best_of_ed_sheeran/DHP1186081;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Shape of You, Perfect, Castle on the Hill, Sing. Also abel.at
Ed Sheeran;Sing;pop/rock;The Best of Ed Sheeran;Peter Kleine Schaars;Mittel-/Oberstufe (3.5);rundel.de;https://www.rundel.de/en/article/the_best_of_ed_sheeran/DHP1186081;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Shape of You, Perfect, Castle on the Hill, Sing. Also abel.at
Ed Sheeran;Thinking Out Loud;pop/rock;Thinking Out Loud;Robert Longfield;2;blasmusik-shop.de;https://www.blasmusik-shop.de/Thinking-Out-Loud_1;https://www.youtube.com/watch?v=lp-EO5I60KA;Hal Leonard #HL04005420, Discovery Plus Concert Band, Grade 2. Also hebu-music.com, halleonard.com
Elbow;One Day Like This;pop/rock;One Day Like This;Jock McKenzie;3;superbrass.co.uk;https://www.superbrass.co.uk/product/one-day-like-this;https://www.youtube.com/watch?v=Lx0OQ_dBHZE;Superbrass Music, Brass Ensemble (4 Tpt, 1 Horn, 3 Tbn, 1 Euph, 1 Tuba, Drum Kit). Also Brass Band on sheetmusicdirect.com
Elton John;Candle in the Wind;pop/rock;Pop and Rock Legends: Elton John (Medley);Ted Ricketts;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/pop_and_rock_legends_elton_john/HL04000984;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Goodbye Yellow Brick Road, Saturday Night's Alright (For Fighting), Candle in the Wind, Crocodile Rock (Hal Leonard)
Elton John;Crocodile Rock;pop/rock;Crocodile Rock;Paul Murtha;2-3;halleonard.com;https://www.halleonard.com/product/4003758/crocodile-rock;https://www.youtube.com/watch?v=fhT8MfGKfNg;Flex-Band Grade 2
Elton John;Crocodile Rock;pop/rock;Pop and Rock Legends: Elton John (Medley);Ted Ricketts;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/pop_and_rock_legends_elton_john/HL04000984;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Goodbye Yellow Brick Road, Saturday Night's Alright (For Fighting), Candle in the Wind, Crocodile Rock (Hal Leonard)
Elton John;Goodbye Yellow Brick Road;pop/rock;Pop and Rock Legends: Elton John (Medley);Ted Ricketts;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/pop_and_rock_legends_elton_john/HL04000984;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Goodbye Yellow Brick Road, Saturday Night's Alright (For Fighting), Candle in the Wind, Crocodile Rock (Hal Leonard)
Elton John;I'm Still Standing;pop/rock;I'm Still Standing;Matt Conaway;3-4;halleonard.com;https://www.halleonard.com/product/3746380/im-still-standing;https://www.youtube.com/watch?v=ZHkB05OtLqA;Marching Band
Elton John;Saturday Night's Alright (For Fighting);pop/rock;Pop and Rock Legends: Elton John (Medley);Ted Ricketts;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/pop_and_rock_legends_elton_john/HL04000984;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Goodbye Yellow Brick Road, Saturday Night's Alright (For Fighting), Candle in the Wind, Crocodile Rock (Hal Leonard)
Elton John;Your Song;pop/rock;Your Song;Hajime Ueshiba;3;hebu-music.com;https://www.hebu-music.com/index.php/en/article/elton-john/hal-leonard-europe-de-haske/your-song.168373/;https://www.youtube.com/watch?v=GlPlfCy1urI;De Haske 1998, New Sounds for Concert Band, DHP 0981145-010, ISMN 9790035049457. Also: arr. Picqueur (Beriato, HeBu 213272), arr. Hannevik (Norsk Noteservice, HeBu 731159, Young Band + Brass Band)
Eurythmics;Sweet Dreams;pop/rock;;;;;;https://www.youtube.com/watch?v=qeMFq9CqC3M;No wind/brass arrangement found at abel/rundel/halleonard.
Fleetwood Mac;Go Your Own Way;pop/rock;;;;;;https://www.youtube.com/watch?v=6Ul-xDCfBRU;No wind/brass arrangement found at abel/rundel/halleonard.
Genesis;Supper's Ready;pop/rock;Symphonic Rock;Gilbert Tinner;Oberstufe;rundel.de;https://www.rundel.de/en/product/DHMS153408/symphonic-rock;https://www.youtube.com/watch?v=dWXOVmFKQkI;DHMS153408. Concert band medley combining Queen and Genesis hits.
George Michael;Careless Whisper;pop/rock;Careless Whisper (Easy Jazz Ensemble Pak);;Level 3;halleonard.com;https://www.halleonard.com/product/07493920/careless-whisper;https://www.youtube.com/watch?v=izGwDsrQ1eQ;Jazz Ensemble Pak No.13/14. No standalone concert band found.
George Michael;Faith;pop/rock;;;;;;https://www.youtube.com/watch?v=G95J_ksJows;No wind/brass arrangement found. Only piano/vocal & lead sheet.
George Michael;Last Christmas;pop/rock;Last Christmas;;Mittelstufe;rundel.de;https://www.rundel.de/en/search/?q=last+christmas;https://www.youtube.com/watch?v=E8gmARGyPl0;Rundel BER95.0081 Berner edition. No standalone at HL/abel.
Gorillaz;Feel Good Inc.;pop/rock;Feel Good Inc.;Mark Corkery;3;sheetmusicdirect.com;https://www.sheetmusicdirect.com/se/ID_No_1161322/Product.aspx;https://www.youtube.com/watch?v=04fQTlCCl0Y;Concert Band, Level 3, incl. Guitar, Bass, Keyboard parts. ArrangeMe/Hal Leonard
Harry Styles;As It Was;pop/rock;As It Was;Seb Skelly;intermediate;abel.at;https://www.abel.at/de/produkt/as-it-was;https://www.youtube.com/watch?v=H5v3kku4y6Q;Fentone Ensemble Series #F1020-070, Blechbläserquintett / Brass Quintet, 12 pp. Also stretta-music.de
Harry Styles;As It Was;pop/rock;As It Was;Nick Birch;3;sheetmusicdirect.com;https://www.sheetmusicdirect.com/se/ID_No_1190282/Product.aspx;https://www.youtube.com/watch?v=H5v3kku4y6Q;Brass Band, incl. Soprano Cornet, Solo Cornet, Repiano, Flugel, Horns, Baritones, Trombones, Euph, Eb/Bb Bass, Perc
Harry Styles;As It Was;pop/rock;As It Was;Tom Wallace;3;forsyths.co.uk;https://www.forsyths.co.uk/music/sheet-music/ensemble-types/orchestral-band/marching-band/210874-as-it-was.html;https://www.youtube.com/watch?v=H5v3kku4y6Q;Arrangers' Publishing Company / Hal Leonard HL01225011, Marching Band, 2023
Iron Maiden;The Trooper;pop/rock;Metal! (Medley);Sean O'Loughlin;Mittelstufe;rundel.de;https://www.rundel.de/en/product/HL04003750/metal;https://www.youtube.com/watch?v=X44z4icnpls;HL04003750. Same medley as Black Sabbath entry above.
Jethro Tull;Living in the Past;pop/rock;;;;;;https://www.youtube.com/watch?v=_N8tBaavuGM;No wind/brass arrangement found at abel.at, rundel.de, or halleonard.com after honest search. Performance: Jethro Tull Living in the Past (Supersonic 1976).
Jethro Tull;Locomotive Breath;pop/rock;;;;;;https://www.youtube.com/watch?v=6aChl-q_gYY;No wind/brass arrangement found at abel.at, rundel.de, or halleonard.com after honest search. Performance: Jethro Tull official live performance.
Led Zeppelin;Black Dog;pop/rock;Led Zeppelin on Tour (Rock and Roll / Immigrant Song / Black Dog / Kashmir / Stairway to Heaven);Patrick Roszell;3.5;alfred.com;https://www.windrep.org/Led_Zeppelin_on_Tour;https://www.youtube.com/watch?v=aLQLEdkRoAI;Alfred Music 2010, Grade III-1/2, ~10:00. Same medley as Rock and Roll row
Led Zeppelin;Immigrant Song;pop/rock;Led Zeppelin on Tour (Rock and Roll / Immigrant Song / Black Dog / Kashmir / Stairway to Heaven);Patrick Roszell;3.5;alfred.com;https://www.windrep.org/Led_Zeppelin_on_Tour;https://www.youtube.com/watch?v=RlNhD0oSrpk;Alfred Music 2010, Grade III-1/2, ~10:00. Same medley as Rock and Roll row
Led Zeppelin;Kashmir;pop/rock;Led Zeppelin on Tour (Rock and Roll / Immigrant Song / Black Dog / Kashmir / Stairway to Heaven);Patrick Roszell;3.5;alfred.com;https://www.windrep.org/Led_Zeppelin_on_Tour;https://www.youtube.com/watch?v=PD-MdiUm1Gc;Alfred Music 2010, Grade III-1/2, ~10:00. Same medley as Rock and Roll row
Led Zeppelin;Rock and Roll;pop/rock;Led Zeppelin on Tour (Rock and Roll / Immigrant Song / Black Dog / Kashmir / Stairway to Heaven);Patrick Roszell;3.5;alfred.com;https://www.windrep.org/Led_Zeppelin_on_Tour;https://www.youtube.com/watch?v=LwU2lfziHjk;Alfred Music 2010, Grade III-1/2, ~10:00, USD 77 (score+parts) / 12 score. Concert band + electric bass, drum set, percussion. Medley contains 5 songs
Led Zeppelin;Stairway to Heaven;pop/rock;Led Zeppelin on Tour (Rock and Roll / Immigrant Song / Black Dog / Kashmir / Stairway to Heaven);Patrick Roszell;3.5;alfred.com;https://www.windrep.org/Led_Zeppelin_on_Tour;https://www.youtube.com/watch?v=xbhCPt6PZkQ;Alfred Music 2010, Grade III-1/2, ~10:00. Same medley as Rock and Roll row
Led Zeppelin;Stairway to Heaven;pop/rock;Stairway to Heaven;Roy Phillippe;3;hebu-music.com;https://www.hebu-music.com/en/article/jimmy-page-robert-plant/alfred-publishing/stairway-to-heaven-c-b.231038;https://www.youtube.com/watch?v=xbhCPt6PZkQ;"Alfred Publishing, HeBu order #152153, EUR 98 / score EUR 12, 3:44. Also: arr. Jirka Kadlec & arr. Norman Tailor; Ralph Ford march-band version"
Madness;Baggy Trousers;pop/rock;;;;;;https://www.youtube.com/watch?v=eGmSH8Xfboc;no arrangement
Madness;House of Fun;pop/rock;;;;;;https://www.youtube.com/watch?v=7R7s0sKU8HA;no arrangement
Madness;Our House;pop/rock;;;;;;https://www.youtube.com/watch?v=cV2LUKzE5hU;no arrangement
Mumford & Sons;Little Lion Man;pop/rock;Little Lion Man;Darel Monroe;3.5;sheetmusicdirect.com;https://www.sheetmusicdirect.com/se/ID_No_1770836/Product.aspx;https://www.youtube.com/watch?v=s2-VNjJqOco;Concert Band arrangement. Independent arranger
Muse;Knights of Cydonia;pop/rock;Knights of Cydonia;Richard Grantham;3 (mittelschwer);stretta-music.de;https://www.stretta-music.de/bellamy-knights-of-cydonia-nr-1840698.html;https://www.youtube.com/watch?v=G_sBsh7r5LQ;Molenaar Edition, MOL 1840698, sinfonisches Blasorchester / concert band
Muse;Time Is Running Out;pop/rock;Time Is Running Out;Lorenzo Bocci;3;sheetmusicplus.com;https://www.sheetmusicplus.com/en/product/time-is-running-out-23730852.html;https://www.youtube.com/watch?v=Ym9Z2uL1V0s;"Concert Band / Blasorchester / Harmonie, Grade 3, 3'53"", incl. electric guitar/keyboard parts"
Muse;Uprising;pop/rock;Uprising;Tom Wallace;Level 3;halleonard.com;https://www.halleonard.com/product/00172128/uprising;;Marching Band Score & Parts $80
New Order;Blue Monday;pop/rock;;;;;;https://www.youtube.com/watch?v=FYH8VKaD71g;No wind/brass arrangement found at abel/rundel/halleonard.
Oasis;Champagne Supernova;pop/rock;Oasis On Tour;Philip Sparke;;halleonard.com;https://www.halleonard.com/product/04009122/oasis-on-tour;https://www.youtube.com/watch?v=GbfKMQEBEbs;same medley
Oasis;Don't Look Back in Anger;pop/rock;Oasis On Tour;Philip Sparke;;halleonard.com;https://www.halleonard.com/product/04009122/oasis-on-tour;https://www.youtube.com/watch?v=r8OoMWFyFhM;same medley
Oasis;Wonderwall;pop/rock;Oasis On Tour;Philip Sparke;;halleonard.com;https://www.halleonard.com/product/04009122/oasis-on-tour;https://www.youtube.com/watch?v=6hzrDeTyek0;Brass Band medley Wonderwall/DLBIA/Champagne Supernova
One Direction;What Makes You Beautiful;pop/rock;What Makes You Beautiful;;Anfängerstufe;rundel.de;https://www.rundel.de/en/product/HL04003568/what-makes-you-beautiful;https://www.youtube.com/watch?v=QSY3G6Ehr2s;HL04003568. Very easy concert band arrangement.
One Direction;What Makes You Beautiful;pop/rock;One Direction in Concert;;Unterstufe;rundel.de;https://www.rundel.de/en/product/HL04003578/one-direction-in-concert;https://www.youtube.com/watch?v=QSY3G6Ehr2s;HL04003578. Concert band medley incl. What Makes You Beautiful and other hits.
Pet Shop Boys;Go West;pop/rock;Go West;;Oberstufe;rundel.de;https://www.rundel.de/en/product/DHP1145545/go-west;https://www.youtube.com/watch?v=Qc7GvrkDBzg;DHP1145545. Concert band arrangement.
Pet Shop Boys;Go West;pop/rock;Go West;;Mittelstufe;rundel.de;https://www.rundel.de/en/product/DH940581/go-west;https://www.youtube.com/watch?v=Qc7GvrkDBzg;DH940581. Concert band arrangement. Easier version.
Pet Shop Boys;It's a Sin;pop/rock;It's a Sin;Klauss van der Woude;Mittel-/Oberstufe;rundel.de;https://www.rundel.de/en/product/DH981121/its-a-sin;https://www.youtube.com/watch?v=EJKPE1klsRk;DH981121. Concert band arrangement.
Phil Collins;Against All Odds;pop/rock;The Phil Collins Collection;;Oberstufe;rundel.de;https://www.rundel.de/en/product/DHMS123605/the-phil-collins-collection;https://www.youtube.com/watch?v=Rbm6GXllBiw;DHMS123605. Concert band medley of Phil Collins hits.
Phil Collins;In the Air Tonight;pop/rock;PHIL COLLINS live;;Oberstufe;rundel.de;https://www.rundel.de/en/product/MVSR1683/phil-collins-live;https://www.youtube.com/watch?v=Wo-lJ6rZDmg;MVSR1683. Concert band medley of Phil Collins hits.
Pink Floyd;Another Brick in the Wall (Part 2);pop/rock;Another Brick in the Wall (Part 2);;Mittel-/Oberstufe;rundel.de;https://www.rundel.de/en/product/TM174/another-brick-in-the-wall-part-2;https://www.youtube.com/watch?v=HrxZWNu72WI;TM174. Concert band arrangement.
Procol Harum;A Whiter Shade of Pale;pop/rock;;;;;;https://www.youtube.com/watch?v=30DKP67dAlk;No wind/brass arrangement found at abel.at, rundel.de, or halleonard.com after honest search. Piano/vocal editions may exist but no concert band/Blasmusik found. Performance: Procol Harum official video.
Queen;Another One Bites the Dust;pop/rock;Queen Greatest Hits;Peter Kleine Schaars;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/queen_greatest_hits/DHP1115045;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Bohemian Rhapsody, Another One Bites the Dust, Crazy Little Thing Called Love, We Will Rock You, We Are the Champions. Also abel.at
Queen;Bohemian Rhapsody;pop/rock;Bohemian Rhapsody;Johan de Meij;Oberstufe;rundel.de;https://www.rundel.de/de/artikel/bohemian_rhapsody/AM203;https://www.youtube.com/watch?v=fJ9rUzIMcZQ;Amstel Music Concert Band. Also Sparke Fanfare. High ambra musicals
Queen;Bohemian Rhapsody;pop/rock;Queen Greatest Hits;Peter Kleine Schaars;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/queen_greatest_hits/DHP1115045;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Bohemian Rhapsody, Another One Bites the Dust, Crazy Little Thing Called Love, We Will Rock You, We Are the Champions. Also abel.at
Queen;Crazy Little Thing Called Love;pop/rock;Queen Greatest Hits;Peter Kleine Schaars;Mittelstufe (3);rundel.de;https://www.rundel.de/en/article/queen_greatest_hits/DHP1115045;https://www.youtube.com/watch?v=mQQlnKbE1hQ;medley incl. Bohemian Rhapsody, Another One Bites the Dust, Crazy Little Thing Called Love, We Will Rock You, We Are the Champions. Also abel.at
Queen;Don't Stop Me Now;pop/rock;Queen Medley;Masamicz Amano;Mittel-/Oberstufe (3.5);rundel.de;https://www.rundel.de/en/article/queen_medley/DHP1196177;https://www.youtube.com/watch?v=8sLRoMCXYFM;medley incl. Don't Stop Me Now, We Will Rock You, We Are the Champions, I Was Born to Love You. Also abel.at
Queen;I Was Born to Love You;pop/rock;Queen Medley;Masamicz Amano;Mittel-/Oberstufe (3.5);rundel.de;https://www.rundel.de/en/article/queen_medley/DHP1196177;https://www.youtube.com/watch?v=8sLRoMCXYFM;medley incl. Don't Stop Me Now, We Will Rock You, We Are the Champions, I Was Born to Love You. Also abel.at
